Station,Rank,Station Entries,Station Exits,"Prioritised for investment, by band.",Station proritised as a geographical filler.,Current Accessibility,,,,,
,,,Station Exits,,,Step-free access,PA,CIS,Station staffing,Overall accessibility,
Patterton,769,"141,339","145,072",,,Full,จน,,None,Part,
Marlow,770,"141,174","138,343",3,,Full,จน,,None,Part,
Droitwich Spa,771,"141,003","149,822",1,จน,Full,,จน,Part,Part,
Leuchars,772,"140,960","145,666",,,Full,จน,,Full,Part,
New Brighton,773,"140,781","136,693",3,,Full,จน,,Full,Part,
Turkey Street,774,"140,099","136,282",,,No,จน,จน,Part,Part,
Hunts Cross,775,"139,622","138,339",,,No,จน,จน,Full,Part,
Hackney Wick,776,"139,348","148,514",,,Part,จน,จน,Part,Part,
West Kirby,777,"138,545","125,602",,,Full,จน,จน,Full,Full,
Sandwich,778,"138,289","139,174",,,Part,จน,,Part,Part,
Chertsey,779,"138,109","141,552",,,Full,จน,จน,Part,Full,
Horsley,780,"137,968","140,154",,,Part,จน,จน,Part,Part,
Sundridge Park,781,"137,719","134,132",,,Part,จน,,Part,Part,
Warminster,782,"137,580","141,610",1,,No,,,Part,None,
Llanelli,783,"137,252","141,053",,,Full,จน,จน,Part,Part,
New Pudsey,784,"136,651","137,676",,,Full,จน,,Part,Part,
Theobalds Grove,785,"136,122","132,518",,,No,จน,จน,Part,Part,
Greenock Central,786,"136,058","134,113",,,Full,จน,,Full,Part,
Garrowhill,787,"135,933","138,127",,,Full,จน,,Full,Part,
Kentish Town,788,"135,548","171,781",2,,No,,จน,Full,Part,
Redcar Central,789,"135,501","139,096",,,Full,จน,,Part,Part,
Montrose,790,"135,269","139,189",,,Part,จน,,Part,Part,
Merthyr Tydfil,791,"135,161","130,619",2,,Full,,,Part,Part,
Alexandria,792,"134,533","136,371",,,Part,จน,จน,Full,Part,
Oxenholme Lake District,793,"134,460","134,983",3,จน,Part,จน,จน,Full,Part,
Stoke Mandeville,794,"133,957","133,350",,,Part,จน,,Full,Part,
Hanwell,795,"133,713","130,169",,,No,จน,จน,Full,Part,
Westbury,796,"133,571","136,728",,,No,จน,,Part,Unknown,
Brentford,797,"133,380","152,233",,,Full,จน,จน,Part,Part,
Purfleet,798,"132,856","130,286",,,Full,จน,จน,Part,Part,
St Austell,799,"132,408","134,268",,,Full,จน,จน,Part,Part,
Dalmeny,800,"132,213","140,499",,,Full,จน,,Part,Part,
Cadoxton,801,"131,987","138,298",2,,No,,,None,None,
Dawlish,802,"131,574","133,462",,,Full,จน,,Part,Part,
Silver Street,803,"131,325","126,230",,,No,จน,จน,Part,Part,
Meopham,804,"131,306","133,454",,,Part,จน,จน,Part,Part,
Anerley,805,"131,238","130,045",2,,No,,,Part,None,
Port Talbot Parkway,806,"131,140","133,215",2,,No,,จน,Part,Part,
Heaton Chapel,807,"131,135","132,982",,,Full,จน,,Part,Part,
Abergavenny,808,"130,988","134,143",,,No,จน,จน,Part,Part,
Maryland,809,"130,812","134,462",,,No,จน,จน,Part,Part,
Whyteleafe,810,"130,529","127,695",,,No,จน,,Part,Part,
Rye House,811,"130,065","134,517",,,Part,จน,จน,Part,Part,
Byfleet & New Haw,812,"129,731","132,410",,,No,จน,จน,Part,Part,
Llandaf,813,"129,389","132,915",2,,No,,,None,None,
Southbury,814,"129,121","126,846",,,No,จน,จน,Part,Part,
Bromborough,815,"128,360","130,946",,,Part,จน,จน,Full,Part,
Menston,816,"127,624","125,340",,,No,จน,,Part,Part,
Marple,817,"127,555","125,921",,,Part,จน,,Part,Part,
East Worthing,818,"127,184","134,474",2,,No,,,None,None,
Hinchley Wood,819,"127,120","124,450",,,No,จน,จน,Part,Part,
Bearsden,820,"126,664","129,588",,,Part,จน,,Part,Part,
Sellafield,821,"126,203","122,990",2,,No,,,None,None,
Retford,822,"125,877","126,236",,,Insufficient info provided by station operator,จน,,Full,Part,
London Fields,823,"125,365","140,520",,,No,จน,,None,Part,
Malden Manor,824,"124,635","121,954",,,No,จน,จน,Part,Part,
Arlesey,825,"124,585","132,297",,,Part,จน,,Part,Part,
Shaw & Crompton,826,"124,439","124,731",,,Full,,,Part,Part,
Slade Green,827,"124,199","130,264",2,,No,,จน,Part,Part,
Northfield,828,"124,084","118,426",,,Part,จน,,Full,Part,
Preston Park,829,"124,042","124,203",,,No,จน,จน,Part,Part,
Poulton Le Fylde,830,"123,616","122,264",,,Full,จน,,Part,Part,
Radyr,831,"123,478","123,103",2,,No,,จน,Part,Part,
Todmorden,832,"123,360","127,166",,,Part,จน,,Part,Part,
Apsley,833,"123,064","124,457",,,Part,จน,,Part,Part,
Downham Market,834,"122,785","125,583",,,Full,จน,จน,Part,Part,
Brough,835,"122,693","125,815",,,Full,จน,,Part,Part,
Ashton-Under-Lyne,836,"122,545","122,883",3,,Full,,,Part,Part,
Longbridge,837,"121,858","118,473",,,Full,จน,,Full,Part,
Hartlepool,838,"121,576","124,127",,,Full,จน,,Part,Part,
Wareham Dorset,839,"121,388","122,172",,,Part,จน,จน,Part,Part,
Canonbury,840,"121,230","122,138",,,No,จน,จน,Part,Part,
Whittlesford,841,"120,892","120,954",,,Part,จน,จน,Part,Part,
Dorridge,842,"120,847","121,020",,,Part,จน,จน,Full,Part,
Bourne End,843,"120,696","122,484",,,Full,จน,จน,Part,Part,
Burnside Strathclyde,844,"120,526","129,189",,,No,จน,จน,Part,Part,
Sandown,845,"120,398","124,478",3,,Part,,,None,None,
Warwick Parkway,846,"119,676","118,736",,,Full,จน,จน,Full,Full,
Fulwell,847,"119,388","115,429",,,No,จน,จน,Part,Part,
Marden,848,"119,249","121,439",3,,No,,,Part,None,
Oldham Mumps,849,"118,977","120,152",,,Full,,,Part,Part,
Porth,850,"118,780","119,944",3,,Part,,จน,Part,Part,
Effingham Junction,851,"118,753","118,271",,,No,จน,จน,Part,Part,
Emsworth,852,"118,557","122,950",,,No,จน,จน,Part,Part,
Winchfield,853,"118,489","119,806",,,Part,จน,จน,Part,Part,
Llandudno,854,"118,194","117,320",3,,Full,,จน,Part,Part,
Evesham,855,"118,111","122,063",,,Part,จน,จน,Full,Part,
Penge West,856,"118,033","145,721",,,No,จน,,Part,Part,
Prestatyn,857,"117,562","118,268",,,No,จน,,Part,Part,
Williamwood,858,"116,894","121,494",,,No,จน,,Part,Part,
Ystrad Mynach,859,"116,771","117,448",3,,Full,,,Part,Part,
Dumbarton East,860,"116,460","123,051",,,No,จน,จน,None,Part,
Woolwich Dockyard,861,"116,409","125,336",3,,Part,,,Part,None,
Taffs Well,862,"116,223","119,549",3,,Full,,,None,Part,
Wallasey Grove Road,863,"116,181","129,353",,,Part,จน,,Full,Part,
Bramley Hants,864,"115,967","119,192",,,Full,จน,จน,Part,Part,
Stourbridge Town,865,"115,501","119,901",3,,Full,,,Full,Part,
Dyce,866,"115,387","123,562",,,Part,จน,จน,None,Part,
Newport Essex,867,"115,366","116,586",,,Full,จน,จน,Part,Part,
Hucknall,868,"115,312","102,470",3,,No,,,None,None,
Honiton,869,"114,964","118,790",,,Part,จน,จน,Part,Part,
Leasowe,870,"114,735","114,387",,,Full,จน,,Full,Part,
Scunthorpe,871,"114,458","116,257",,,Full,,,Part,Part,
Charlbury,872,"113,935","115,065",,,Full,จน,จน,Part,Part,
Hedge End,873,"113,909","115,548",,,Part,จน,จน,Part,Part,
Llandudno Junction,874,"113,904","112,575",,,Full,จน,จน,Part,Part,
Brunswick,875,"113,593","110,883",,,Full,จน,,Full,Part,
Crowthorne,876,"112,855","115,913",,,Full,จน,จน,Part,Part,
Colwyn Bay,877,"112,636","112,304",,,Full,จน,จน,Part,Part,
Portchester,878,"111,875","116,221",,,No,จน,จน,Part,Part,
Aberystwyth,879,"111,482","107,016",,,Full,จน,จน,Part,Part,
Robertsbridge,880,"111,424","113,482",,,Part,จน,,Part,Part,
Penrith,881,"111,386","113,559",,,Part,จน,,Full,Part,
Buxton,882,"111,300","108,947",,,Full,จน,,Part,Part,
March,883,"111,273","112,556",,,Part,จน,,Part,Part,
Treherbert,884,"111,214","109,111",3,,Full,,,None,Part,
Lanark,885,"110,608","108,386",,,Full,จน,,Full,Part,
Erdington,886,"110,030","113,040",2,จน,Part,จน,จน,Full,Part,
Woodmansterne,887,"109,989","108,085",,,No,จน,,Part,Part,
Denham,888,"109,774","108,723",,,Insufficient info provided by station operator,จน,,Part,Part,
Bowes Park,889,"109,759","108,426",,,No,จน,,Part,Part,
Arundel,890,"109,643","111,017",,,Part,จน,จน,Part,Part,
Yatton,891,"109,587","110,621",,,Full,จน,จน,Part,Part,
Bradford On Avon,892,"109,543","111,015",,,No,จน,จน,Part,Part,
Datchet,893,"109,348","112,640",,,Part,จน,จน,Part,Part,
Whitecraigs,894,"109,262","116,132",,,Full,จน,,Part,Part,
Windermere,895,"109,244","106,175",,,Full,จน,จน,Full,Full,
Stamford,896,"109,136","115,178",,,Part,จน,,Part,Part,
Stroud,897,"109,094","112,902",,,Full,จน,จน,Part,Part,
Dunbar,898,"109,023","115,529",,,Full,จน,จน,Full,Full,
Haydons Road,899,"108,998","113,107",,,Part,จน,,None,Part,
St Ives,900,"108,887","104,510",,,Full,จน,,Part,Part,
Sudbury Suffolk,901,"108,645","108,592",,,Part,จน,จน,None,Part,
Newton le Willows,902,"108,406","109,035",,,Full,จน,,None,Part,
Chessington South,903,"108,267","109,736",,,Part,จน,จน,Part,Part,
Giffnock,904,"108,250","123,366",,,Full,จน,จน,Part,Part,
Riddlesdown,905,"107,843","109,726",,,No,จน,,Part,Part,
Swinton,906,"107,669","108,641",3,,Full,,,None,Part,
Crossmyloof,907,"107,516","124,129",,,No,จน,จน,None,Part,
Hairmyres,908,"107,392","110,871",,,Full,จน,,None,Part,
Fazakerley,909,"107,149","107,870",,,No,จน,,Full,Part,
Liss,910,"107,059","108,664",,,Part,จน,จน,Part,Part,
Newhaven Town,911,"106,892","109,244",,,No,จน,,None,Part,
Leyland,912,"106,760","108,411",,,Part,,,Part,None,
Cholsey,913,"106,666","107,715",,,No,จน,จน,Part,Part,
Kingswood,914,"106,458","107,458",,,Full,จน,,Part,Part,
Ainsdale,915,"106,431","103,886",,,Part,จน,,Full,Part,
Drumchapel,916,"106,365","107,279",,,Full,จน,,Full,Part,
Sandwell & Dudley,917,"106,278","105,265",,,Part,จน,,Full,Part,
Prestwick,918,"106,232","112,985",,,Full,จน,จน,Part,Part,
Thornaby,919,"105,833","109,393",,,Insufficient info provided by station operator,,,Insufficient info provided by station operator,Unknown,
Burley in Wharfedale,920,"105,687","117,106",,,No,จน,,None,Part,
Southwick,921,"105,529","106,357",,,No,จน,จน,Part,Part,
High Street Glasgow,922,"105,444","102,386",,,No,จน,จน,Full,Part,
Burley Park,923,"105,204","111,002",,,No,,,None,None,
South Elmsall,924,"104,451","105,388",,,Full,จน,,None,Part,
Ifield,925,"104,427","103,465",,,No,จน,จน,Part,Part,
Boston,926,"104,410","105,007",,,Full,,จน,Part,Part,
Cottingham,927,"104,262","109,508",,,No,จน,,None,Part,
Birchington on Sea,928,"104,098","104,151",,,Part,จน,จน,Part,Part,
Liskeard,929,"103,865","106,010",,,Full,จน,จน,Part,Part,
Goole,930,"103,735","104,264",,,Full,จน,,Part,Part,
Walmer,931,"103,601","104,123",,,Part,,,Part,None,
Uphall,932,"103,494","111,361",,,Full,จน,,None,Part,
Kilburn High Road,933,"103,173","106,264",,,No,จน,,Part,Part,
Ellesmere Port,934,"102,960","106,808",,,Part,,,Part,None,
Edenbridge,935,"102,911","113,602",,,Part,,,None,Unknown,
Winnersh Triangle,936,"102,846","103,580",,,No,จน,จน,Part,Part,
Knaresborough,937,"102,428","109,127",,,No,,,None,None,
Nailsea & Backwell,938,"102,342","101,161",,,No,,จน,Part,Part,
Blantyre,939,"102,301","104,873",,,Full,จน,จน,Full,Full,
Hinckley,940,"102,262","107,414",,,Full,จน,,Part,Part,
North Sheen,941,"102,228","116,797",,,No,จน,จน,Part,Part,
Millom,942,"102,162","103,789",,,No,จน,,None,Part,
Elsenham,943,"101,503","103,402",,,Part,จน,จน,Part,Part,
Melton Mowbray,944,"101,394","102,770",,,Part,จน,,Part,Part,
Grange Park,945,"101,387","96,787",,,Full,จน,,Part,Part,
Rye,946,"101,279","104,071",,,No,จน,,Part,Part,
Tolworth,947,"100,906","100,398",,,No,จน,จน,Part,Part,
Thorne North,948,"100,710","102,756",,,Full,จน,,Part,Part,
Bury St Edmunds,949,"100,535","103,461",,,Full,จน,จน,Full,Full,
Heald Green,950,"100,005","97,114",,,Full,จน,,Part,Part,
Earlswood Surrey,951,"99,951","100,325",,,No,จน,จน,Part,Part,
Etchingham,952,"99,876","100,998",,,Part,จน,,Part,Part,
Wallasey Village,953,"99,734","85,790",,,No,จน,,Full,Part,
Ash,954,"99,523","101,143",,,Part,จน,จน,Part,Part,
Malton,955,"99,281","103,122",,,Full,จน,,Part,Part,
Glengarnock,956,"99,113","109,972",,,Full,จน,,Part,Part,
Castleford,957,"99,035","99,993",,,Full,จน,,None,Part,
Caledonian Rd & Bnsb,958,"98,997","118,404",,,Part,จน,จน,Part,Part,
Easterhouse,959,"98,783","99,926",,,Part,จน,จน,Full,Part,
St Michaels,960,"98,366","97,042",,,No,จน,,Full,Part,
Southbourne,961,"98,032","100,971",,,No,จน,,Part,Part,
Spital,962,"97,721","100,042",,,No,จน,จน,Full,Part,
South Kenton,963,"97,657","86,890",,,Part,จน,,Part,Part,
Chester Road,964,"97,211","98,625",3,จน,Full,จน,,Full,Part,
Seaford,965,"97,123","79,022",,,Full,จน,จน,Full,Full,
Hungerford,966,"96,797","100,164",,,Full,จน,จน,None,Part,
Bellgrove,967,"96,783","101,648",,,No,จน,,None,Part,
Green Lane,968,"96,403","137,593",,,No,จน,จน,Full,Part,
Hadfield,969,"95,768","90,919",,,Full,จน,จน,Part,Part,
Stewarton,970,"95,365","103,931",,,Full,จน,,None,Part,
Kemble,971,"95,284","99,507",3,จน,Part,,จน,Part,Part,
Redruth,972,"94,802","92,175",,,No,จน,,Part,Part,
Woldingham,973,"94,515","95,978",,,No,จน,จน,Part,Part,
Mitcham Junction,974,"94,397","95,642",,,No,จน,จน,Part,Part,
Four Oaks,975,"93,973","90,268",,,Part,จน,จน,Full,Part,
Port Sunlight,976,"93,896","87,167",,,No,จน,,Full,Part,
Elgin,977,"93,664","94,125",3,จน,Part,จน,,Part,Part,
Carluke,978,"93,453","95,693",,,Full,จน,,Part,Part,
Frinton,979,"93,153","93,945",,,Full,จน,จน,Part,Part,
Earlestown,980,"92,959","90,845",,,No,จน,,Full,Part,
Brondesbury Park,981,"92,232","98,828",,,No,จน,จน,Part,Part,
Tiverton Parkway,982,"92,213","93,049",,,Part,จน,จน,Part,Part,
Upper Holloway,983,"92,180","97,452",,,Full,จน,,None,Part,
Clifton Down,984,"92,159","95,224",,,Full,จน,,None,Part,
Town Green,985,"92,118","96,042",,,Part,จน,จน,Full,Part,
Atherton,986,"91,817","88,098",,,Full,,,Full,Part,
Lichfield City,987,"91,432","91,644",,,No,จน,,Full,Part,
Coatdyke,988,"90,988","91,080",,,Part,จน,,None,Part,
Bruce Grove,989,"90,719","93,037",,,No,จน,จน,Part,Part,
Oakham,990,"90,648","92,592",,,Full,จน,,Part,Part,
Prittlewell,991,"90,262","102,533",,,Part,จน,จน,Part,Part,
Cleethorpes,992,"90,097","88,989",,,Full,จน,,Part,Part,
Moulsecoomb,993,"89,963","88,206",,,No,จน,,Part,Part,
Hilsea Portsmout,994,"89,918","91,684",,,Part,จน,จน,Part,Part,
Pengam,995,"89,767","87,988",,,Full,,,None,Part,
Driffield,996,"89,701","91,804",,,Full,,,None,Part,
Berrylands,997,"89,686","92,972",,,Part,จน,จน,Part,Part,
Bromley Cross,998,"89,442","87,839",,,Full,,,Part,Part,
Dalgety Bay,999,"89,133","97,288",,,Full,จน,จน,None,Part,
Saltburn,1000,"89,069","83,912",,,Full,จน,,None,Part,
Mortimer,1001,"89,001","90,531",,,Part,จน,จน,Part,Part,
Newton Lanark,1002,"88,746","90,348",,,Full,,,Part,Part,
Totton,1003,"88,636","89,675",,,Part,จน,จน,Part,Part,
Cardiff Bute Rd,1004,"88,596","89,315",,,Full,,,None,Part,
Barmouth,1005,"88,540","85,664",,,Full,,,None,Part,
Cross Gates,1006,"88,412","87,546",,,Full,จน,,Part,Part,
Ludlow,1007,"88,238","89,580",,,Full,จน,จน,Part,Part,
Old Roan,1008,"88,163","89,169",,,Full,จน,จน,Full,Full,
Barnstaple,1009,"88,147","88,535",,,Full,,,Part,Part,
Pokesdown,1010,"88,090","88,425",,,No,จน,จน,Part,Part,
Widnes,1011,"87,859","94,175",,,Full,,,Part,Part,
Bargoed,1012,"87,830","88,022",,,Full,,จน,None,Part,
Cookham,1013,"87,762","90,573",,,Full,จน,,Part,Part,
Hadley Wood,1014,"87,743","94,068",,,No,จน,จน,Part,Part,
Rowley Regis,1015,"87,718","89,543",,,Part,,,Full,Part,
Birkenhead North,1016,"87,703","83,449",,,Part,จน,,Full,Part,
Accrington,1017,"87,682","92,154",,,Full,,,Part,Part,
Moreton In Marsh,1018,"87,639","88,750",,,Part,จน,จน,Part,Part,
Cradley Heath,1019,"87,603","87,183",2,จน,Full,จน,,Full,Part,
Whitchurch Hamp,1020,"87,505","89,539",,,Part,จน,จน,Part,Part,
Wolverton,1021,"87,225","89,807",,,Part,จน,,Part,Part,
Moreton Mersey,1022,"87,207","105,521",,,Part,จน,จน,Full,Part,
Cwmbran,1023,"87,015","89,981",,,Full,,,Part,Part,
Sandhills,1024,"86,760","92,231",,,No,จน,จน,Full,Part,
Addlestone,1025,"86,612","87,602",,,Part,จน,จน,Part,Part,
Romiley,1026,"86,552","86,666",,,No,จน,,Part,Part,
Stamford Hill,1027,"86,474","84,666",,,No,จน,จน,Part,Part,
Reedham (Surrey),1028,"86,401","83,985",,,No,จน,,Part,Part,
Jordanhill,1029,"85,861","94,613",,,Full,จน,,None,Part,
Waterbeach,1030,"85,860","90,779",,,Full,จน,,None,Part,
Drayton Park,1031,"85,728","78,731",,,No,จน,จน,Part,Part,
Farningham Road,1032,"84,848","84,566",,,No,จน,จน,Part,Part,
Kirkham & Wesham,1033,"84,576","87,184",,,No,จน,,Part,Part,
Spalding,1034,"84,303","84,459",,,Full,จน,,Part,Part,
Tisbury,1035,"84,198","84,735",,,Full,จน,จน,Part,Part,
Knutsford,1036,"84,112","85,930",,,Full,,,Part,Part,
Marston Green,1037,"84,003","84,767",,,Full,,,Full,Part,
Morecambe,1038,"83,476","84,116",,,Full,,,Part,Part,
Malvern Link,1039,"83,053","82,767",,,No,,,Part,None,
St Denys,1040,"82,936","81,047",,,Part,จน,จน,Part,Part,
Axminster,1041,"82,623","84,406",,,Full,จน,จน,Part,Part,
Witley,1042,"82,411","85,553",,,Part,จน,จน,Part,Part,
Anderston,1043,"82,131","81,836",,,No,จน,จน,Full,Part,
Birkdale,1044,"81,928","82,825",,,Part,จน,,Full,Part,
Hornbeam Park,1045,"81,436","84,174",,,No,จน,,None,Part,
St Albans Abbey,1046,"81,073","82,134",,,Full,จน,,None,Part,
Kirkbyinashfield,1047,"81,008","76,622",,,No,,,None,None,
Littlehaven,1048,"80,744","80,687",,,No,จน,,Part,Part,
Stonegate,1049,"80,705","82,093",,,Part,จน,,None,Part,
West Kilbride,1050,"80,627","85,537",,,Full,จน,จน,None,Part,
Colchester Town,1051,"80,475","64,626",,,Full,จน,จน,Part,Part,
Westgate On Sea,1052,"80,228","80,460",,,No,จน,จน,Part,Part,
Wemyss Bay,1053,"79,989","81,298",,,Full,จน,,Full,Part,
Queenborough,1054,"79,968","89,066",,,Part,จน,,None,Part,
Milford Surrey,1055,"79,896","80,875",,,Part,จน,จน,Part,Part,
Mossley Manchr,1056,"79,696","80,219",,,No,,,Part,None,
Horwich Parkway,1057,"79,505","85,545",,,Full,จน,จน,None,Part,
Livingston South,1058,"79,415","84,639",,,Full,จน,,None,Part,
Felixstowe,1059,"79,400","79,931",,,Full,,จน,None,Part,
Frimley,1060,"79,093","78,349",,,Part,จน,จน,Part,Part,
Drumry,1061,"78,766","76,012",,,Full,จน,,Full,Part,
Snodland,1062,"78,573","86,334",,,No,,,None,None,
Freshfield,1063,"78,536","90,834",,,Part,จน,จน,Full,Part,
Wylde Green,1064,"78,420","79,232",,,Full,,,Full,Part,
Whifflet,1065,"78,213","82,996",,,Full,จน,จน,None,Part,
Swanscombe,1066,"77,997","76,830",,,No,จน,จน,Part,Part,
Ardrossan S Bch,1067,"77,871","79,686",,,Full,จน,,Full,Part,
Treorchy,1068,"77,700","76,089",,,Full,,,None,Part,
Teynham,1069,"77,564","82,746",,,No,จน,จน,Part,Part,
Runcorn East,1070,"77,486","75,401",,,Full,,,Part,Part,
Taplow,1071,"77,475","80,628",,,Part,จน,จน,Part,Part,
Bookham,1072,"77,423","76,900",,,Part,จน,จน,Part,Part,
Yeovil Junction,1073,"77,275","78,166",,,Part,จน,จน,Part,Part,
Cardross,1074,"77,005","79,687",,,Full,จน,,Full,Part,
Holyhead,1075,"76,972","76,642",,,Full,จน,,Part,Part,
Hagley,1076,"76,877","79,031",,,Part,,,Part,None,
Blake Street,1077,"76,685","77,304",3,จน,Full,จน,,Full,Part,
Cupar,1078,"76,463","78,904",,,Part,จน,,Full,Part,
Southminster,1079,"75,950","75,971",,,Full,จน,จน,None,Part,
Littleborough,1080,"75,921","77,871",,,No,,,Part,None,
Meols,1081,"75,869","81,846",,,Part,จน,,Full,Part,
Castle Cary,1082,"75,735","76,209",,,Full,จน,จน,Part,Part,
Clitheroe,1083,"75,682","70,892",,,Full,จน,,None,Part,
Aston,1084,"75,422","78,041",,,Full,จน,จน,Full,Full,
Urmston,1085,"75,414","73,634",,,Full,,,Part,Part,
Bowling,1086,"75,340","75,739",,,Part,จน,,None,Part,
Whitby,1087,"74,918","74,447",,,Full,,,Part,Part,
Smitham,1088,"74,844","73,530",,,No,จน,จน,Part,Part,
Narborough,1089,"74,645","73,426",,,Part,จน,,Part,Part,
Mexborough,1090,"74,522","74,459",,,Full,จน,,Part,Part,
Frizinghall,1091,"74,063","75,635",,,Full,จน,,None,Part,
Heath High Level,1092,"73,839","76,383",,,No,,,None,None,
Whitehaven,1093,"73,808","74,988",3,จน,Full,,,Part,Part,
Isleworth,1094,"73,792","82,042",,,No,จน,จน,None,Part,
Pencoed,1095,"73,628","77,964",,,Full,,,None,Part,
Higham,1096,"73,436","75,302",,,Part,จน,จน,Part,Part,
Furze Platt,1097,"73,423","74,154",,,Full,จน,,Part,Part,
Shotton,1098,"73,350","74,203",,,No,,,Part,None,
Scotstounhill,1099,"73,260","73,679",,,Full,จน,,Full,Part,
Flint,1100,"73,019","72,644",,,Part,จน,,Part,Part,
Aigburth,1101,"72,839","73,444",,,No,จน,,Full,Part,
Altrincham,1102,"72,815","73,285",2,จน,Full,จน,,Part,Part,
Musselburgh,1103,"72,633","88,488",,,Full,จน,,None,Part,
Blackrod,1104,"72,558","75,698",,,No,,,None,None,
Rainhill,1105,"72,461","68,922",,,No,จน,,Full,Part,
Shirley,1106,"72,029","73,245",,,Part,,,Full,Part,
Gravelly Hill,1107,"71,949","71,737",,,Part,,,Full,Part,
Crossflatts,1108,"71,878","73,679",,,Full,,,None,Part,
Bodmin Parkway,1109,"71,819","72,327",,,No,จน,จน,Part,Part,
Oldfield Park,1110,"71,137","71,953",,,Full,จน,,Part,Part,
Handforth,1111,"71,010","78,807",,,No,,,None,None,
Reading West,1112,"70,991","69,383",,,Part,จน,จน,None,Part,
Cogan,1113,"70,881","75,261",,,No,,,None,None,
Cumbernauld,1114,"70,831","75,105",,,Full,จน,,Part,Part,
Sherborne,1115,"70,552","70,733",,,Part,จน,จน,Part,Part,
Alfreton,1116,"70,498","72,594",,,Part,จน,,Part,Part,
Ryde St Johns Rd,1117,"70,311","69,931",,,Part,,,None,None,
Springburn,1118,"70,303","72,263",,,No,จน,,Part,Part,
Clandon,1119,"70,205","69,880",,,Part,จน,จน,Part,Part,
Tadworth,1120,"70,093","70,002",,,Full,จน,,Part,Part,
Tonypandy,1121,"69,925","73,315",,,Full,,,None,Part,
Coryton,1122,"69,786","65,654",,,Full,,,None,Part,
Dovercourt,1123,"69,752","68,234",,,Full,จน,จน,Part,Part,
Kentish Tn West,1124,"69,728","73,707",,,No,จน,จน,Part,Part,
Thetford,1125,"69,592","70,828",,,Part,จน,,Part,Part,
Meldreth,1126,"69,208","71,286",,,Part,จน,,Part,Part,
Levenshulme,1127,"69,141","63,925",,,No,จน,,Part,Part,
Bridgeton,1128,"69,047","70,687",,,Part,จน,จน,Full,Part,
Branksome,1129,"68,999","69,995",,,No,จน,จน,Part,Part,
Torre,1130,"68,925","69,380",,,No,จน,,None,Part,
Lymington Town,1131,"68,920","66,193",,,Full,จน,จน,Part,Part,
Keynsham,1132,"68,889","69,796",,,No,จน,,Part,Part,
Chestfield & S,1133,"68,649","70,145",,,No,จน,จน,None,Part,
Bridgwater,1134,"68,581","67,144",,,Full,จน,จน,Part,Part,
Baildon,1135,"68,403","77,445",,,Full,,,None,Part,
Long Buckby,1136,"67,906","72,103",,,No,,จน,Part,Part,
Sandling,1137,"67,778","68,628",,,Part,จน,,Part,Part,
Lenham,1138,"67,739","69,608",,,Part,,,None,None,
Crowborough,1139,"67,730","68,786",,,No,จน,จน,Part,Part,
Brookmans Park,1140,"67,581","68,813",,,No,จน,,Part,Part,
Ponders End,1141,"67,414","66,643",,,Full,จน,จน,Part,Part,
Aber,1142,"67,221","67,176",,,Full,,,None,Part,
Shawlands,1143,"66,971","72,980",,,No,จน,,None,Part,
Harlech,1144,"66,843","67,069",,,No,,,None,None,
Northolt Park,1145,"66,610","65,254",,,Insufficient info provided by station operator,จน,,None,Part,
Bromsgrove,1146,"66,521","72,195",,,Part,,จน,None,Part,
Rhymney,1147,"66,477","64,066",,,Full,,,None,Part,
Ledbury,1148,"66,300","67,668",,,Part,,จน,None,Part,
Chapeltown Yorks,1149,"66,119","69,576",,,No,,,None,None,
Garston Mersey,1150,"66,112","74,910",,,Part,จน,,Full,Part,
Appley Bridge,1151,"65,887","68,199",,,Full,,,None,Part,
Greenfield,1152,"65,795","67,079",,,No,,,Part,None,
Newington,1153,"65,768","68,580",,,Part,จน,จน,Part,Part,
Gobowen,1154,"65,653","67,891",,,Full,,,Part,Part,
Acocks Green,1155,"65,523","62,048",,,Part,,,Full,Part,
Davenport,1156,"65,518","65,247",,,No,จน,จน,Part,Part,
Pollokshields East,1157,"65,293","80,534",,,No,จน,,Part,Part,
Craigendoran,1158,"65,095","66,051",,,Full,จน,,None,Part,
Thorpe Le Soken,1159,"64,890","67,194",,,No,จน,จน,Full,Part,
Hillington West,1160,"64,833","66,696",,,No,จน,,Part,Part,
Dunfermline East,1161,"64,647","66,456",,,Full,จน,,None,Part,
Ulverston,1162,"64,644","66,606",,,No,,,Part,None,
Broad Green,1163,"64,376","63,569",,,Full,จน,,Full,Part,
Hough Green,1164,"64,358","59,818",,,No,จน,,Full,Part,
Tame Bridge,1165,"64,173","61,706",,,Full,,,Full,Part,
East Garforth,1166,"64,086","60,481",,,Full,จน,,None,Part,
Yardley Wood,1167,"63,934","63,915",,,Full,จน,,Full,Part,
Wishaw,1168,"63,926","65,500",,,Full,จน,,Part,Part,
Hillfoot,1169,"63,918","69,352",,,Full,จน,,None,Part,
Tattenham Corner,1170,"63,823","64,328",,,Full,จน,จน,Part,Part,
Mountain Ash,1171,"63,518","68,866",,,Full,,,None,Part,
Sutton Parkway,1172,"63,487","62,426",,,No,,จน,None,Part,
Lea Hall,1173,"63,110","62,370",,,Full,จน,,Full,Part,
Ryde Pier Head,1174,"63,069","53,583",,,Full,,จน,Full,Part,
Rosyth,1175,"62,700","67,898",,,Part,จน,,None,Part,
