Station Name, County, Region,TOC, NLC Code, Entries Standard, Entries Reduced, Entries Season,Total Entries, Exits Standard, Exits Reduced, Exits Season,Total Exits, All Entries & Exits 0405,Interchanges,Change
Wem, Shropshire , West Midlands ,Wessex Trains,1347,"16,263","20,705","5,358","42,326","15,854","20,677","5,358","41,889","84,216",,Growth
Woodsmoor, Greater Manchester , North West and Merseysid ,Northern Rail,2773,"9,851","15,490","15,947","41,288","8,679","18,148","15,947","42,774","84,061",,Decline
Alexandra Parade, Glasgow City , Scotland ,First ScotRail,9905,"22,257","12,857","5,878","40,992","24,006","12,873","5,878","42,757","83,750",,Growth
Tonypandy," Rhondda, Cynon, Taff", Wales ,Arriva Trains Wales,3882,"8,689","25,060","5,556","39,305","13,814","25,069","5,556","44,439","83,745",,Decline
Newquay, Cornwall , South West ,Wessex Trains,3523,"6,215","35,821",0,"42,036","6,185","35,491",0,"41,676","83,712",,Growth
Fort Matilda, Inverclyde , Scotland ,First ScotRail,9675,"15,708","13,508","12,613","41,829","15,590","13,511","12,613","41,714","83,544",,Growth
Camelon, Falkirk , Scotland ,First ScotRail,9878,"12,924","13,724","14,190","40,838","14,026","13,945","14,190","42,161","83,000",,Growth
Blackpool South, Lancashire , North West and Merseysid ,Northern Rail,2740,"19,806","20,201",720,"40,727","20,779","20,579",720,"42,078","82,804",,Growth
Oulton Broad North, Suffolk , Eastern ,one,7273,"13,825","8,805","15,437","38,067","14,928","13,996","15,437","44,361","82,427",,Decline
South Milford, North Yorkshire , Yorkshire and the Humber ,Northern Rail,8142,"14,052","7,937","19,129","41,118","14,112","7,943","19,129","41,184","82,302",,Growth
Hengoed, Caerphilly , Wales ,Arriva Trains Wales,4028,"9,279","17,266","13,449","39,994","11,147","17,274","13,449","41,870","81,865",,Decline
East Malling, Kent , South East ,South Eastern,5134,"6,108","7,665","24,909","38,682","10,531","7,454","24,909","42,894","81,576",,Decline
New Mills Central, Derbyshire , East Midlands ,Northern Rail,2974,"14,493","23,482","3,328","41,303","13,431","23,490","3,328","40,249","81,551",214,Growth
Sole Street, Kent , South East ,South Eastern,5126,"7,599","7,575","25,163","40,337","7,918","8,070","25,163","41,151","81,488",,Growth
Crookston Glasgow, Glasgow City , Scotland ,First ScotRail,9628,"16,163","12,010","8,652","36,825","23,717","12,007","8,652","44,376","81,202",,Growth
Garston (Hertfordshire), Hertfordshire , Eastern ,Silverlink,1559,"10,348","10,654","19,462","40,464","9,602","11,584","19,462","40,648","81,113",,Growth
Aviemore, Highland , Scotland ,First ScotRail,8610,"17,121","22,843",82,"40,046","18,083","22,766",82,"40,931","80,977",36,Growth
Milnrow, Greater Manchester , North West and Merseysid ,Northern Rail,2922,"9,313","27,052","4,253","40,618","7,040","29,049","4,253","40,342","80,959",,Growth
Botley, Hampshire , South East ,South West Trains,5894,"11,625","9,790","17,981","39,396","13,307","10,242","17,981","41,530","80,925",,Growth
Reddish North, Greater Manchester , North West and Merseysid ,Northern Rail,2979,"9,502","21,548","9,527","40,577","8,747","22,030","9,527","40,304","80,880",,Growth
Hawkhead, Renfrewshire , Scotland ,First ScotRail,9634,"16,450","13,630","7,760","37,840","21,632","13,628","7,760","43,020","80,860",,Growth
Treorchy," Rhondda, Cynon, Taff", Wales ,Arriva Trains Wales,3891,"10,667","21,351","8,438","40,456","10,495","21,368","8,438","40,301","80,757",,Decline
Castleton, Greater Manchester , North West and Merseysid ,Northern Rail,2919,"9,274","20,730","9,135","39,139","9,690","22,717","9,135","41,542","80,682",,Growth
Nairn, Highland , Scotland ,First ScotRail,8666,"10,348","25,629","4,063","40,040","11,260","25,264","4,063","40,587","80,626",,Growth
Woolston, Southampton City , South East ,South West Trains,5925,"16,123","8,636","14,879","39,638","17,241","8,669","14,879","40,789","80,427",,Decline
Ruskington, Lincolnshire , East Midlands ,Central Trains,6327,"22,780","1,579","13,981","38,340","26,311","1,612","13,981","41,904","80,244",,Growth
Carmyle, Glasgow City , Scotland ,First ScotRail,9769,"17,348","11,588","9,044","37,980","21,361","11,588","9,044","41,993","79,973",,Growth
Folkestone West, Kent , South East ,South Eastern,5027,"6,622","10,112","23,899","40,633","5,414","9,864","23,899","39,177","79,810",,Growth
Adlington (Lancashire), Lancashire , North West and Merseysid ,Northern Rail,2641,"22,309","7,671","9,453","39,433","23,192","7,699","9,453","40,344","79,777",,Growth
Bryn, Greater Manchester , North West and Merseysid ,Northern Rail,2222,"15,471","18,574","4,757","38,802","15,276","20,802","4,757","40,835","79,638",,Growth
Mosspark, Glasgow City , Scotland ,First ScotRail,9632,"13,824","14,231","9,190","37,245","18,592","14,228","9,190","42,010","79,255",,Growth
Whaley Bridge, Derbyshire , East Midlands ,Northern Rail,2772,"9,565","17,816","12,163","39,544","8,961","17,827","12,163","38,951","78,496",,Growth
Dagenham Dock, Greater London , London ,c2c,7440,"10,564","3,328","22,587","36,479","15,986","3,389","22,587","41,962","78,441",,Growth
Bedwyn, Wiltshire , South West ,Great Western,3070,"9,515","18,277","11,123","38,915","9,233","19,168","11,123","39,524","78,439",,Decline
Rowland's Castle, Hampshire , South East ,South West Trains,5658,"10,067","11,048","17,046","38,161","11,528","11,538","17,046","40,112","78,273",,Growth
Aylesham, Kent , South East ,South Eastern,5197,"10,914","16,795","10,450","38,159","11,845","17,801","10,450","40,096","78,255",,Growth
Drem, East Lothian , Scotland ,First ScotRail,9317,"13,365","9,582","14,156","37,103","17,164","9,587","14,156","40,907","78,009",,Growth
Lake, Isle of Wight , South East ,Island Line,5504,"29,636","3,801","4,581","38,018","31,596","3,799","4,581","39,976","77,995",,Decline
Belper, Derbyshire , East Midlands ,Central Trains,1679,"14,215","13,634","9,402","37,251","17,254","13,949","9,402","40,605","77,856",404,Growth
Spring Road, West Midlands , West Midlands ,Central Trains,4535,"16,493","21,625",237,"38,355","16,951","21,902",237,"39,090","77,445",,Growth
Watford North, Hertfordshire , Eastern ,Silverlink,1403,"7,746","6,803","23,518","38,067","8,012","7,787","23,518","39,317","77,384",,Growth
Pembrey & Burry Port, Carmarthenshire , Wales ,Wessex Trains,4140,"10,129","20,007","8,300","38,436","10,632","20,013","8,300","38,945","77,381",,Growth
Alvechurch, Hereford and Worcester , West Midlands ,Central Trains,1198,"18,913","8,513","2,010","29,436","36,916","8,601","2,010","47,527","76,963",,Growth
Hoveton & Wroxham, Norfolk , Eastern ,one,7327,"16,111","15,772","3,175","35,058","13,861","24,661","3,175","41,697","76,754",,Growth
Ford, West Sussex , South East ,Southern,5258,"8,199","16,604","13,057","37,860","8,779","17,042","13,057","38,878","76,739","68,778",Growth
Tenby, Pembrokeshire , Wales ,Wessex Trains,4110,"7,253","30,493",72,"37,818","8,343","30,462",72,"38,877","76,695",,Growth
Sileby, Leicestershire , East Midlands ,Central Trains,1902,"19,513","9,186","10,042","38,741","18,173","9,190","10,042","37,405","76,147",,Growth
Handborough, Oxfordshire , South East ,Great Western,3007,"14,093","10,341","13,500","37,934","13,636","10,906","13,500","38,042","75,976",,Growth
Denby Dale, West Yorkshire , Yorkshire and the Humber ,Northern Rail,8432,"16,266","16,682","4,253","37,201","18,049","16,330","4,253","38,632","75,833",,Growth
Looe, Cornwall , South West ,Wessex Trains,3574,"8,572","27,878","1,182","37,632","8,738","27,958","1,182","37,878","75,510",,Growth
Templecombe, Somerset , South West ,South West Trains,5837,"9,444","18,721","9,136","37,301","9,074","19,884","9,136","38,094","75,394",,Growth
Saxmundham, Suffolk , Eastern ,one,7224,"17,959","17,687","2,092","37,738","17,660","17,765","2,092","37,517","75,255",,Decline
South Acton, Greater London , London ,Silverlink,1452,"15,825","6,830","15,114","37,769","15,525","6,786","15,114","37,424","75,193",,Decline
Henley-In-Arden, Warwickshire , West Midlands ,Central Trains,4524,"13,592","11,324","8,542","33,458","21,500","11,431","8,542","41,473","74,930",,Growth
Great Bentley, Essex , Eastern ,one,6855,"3,983","14,942","17,618","36,543","5,055","15,030","17,618","37,703","74,247",,Growth
Frodsham, Cheshire , North West and Merseysid ,Northern Rail,2284,"15,357","14,393","5,188","34,938","19,651","14,468","5,188","39,307","74,245",,Decline
Thornliebank, East Renfrewshire , Scotland ,First ScotRail,9812,"14,556","10,922","7,466","32,944","22,422","10,922","7,466","40,810","73,754",,Decline
Swaythling, Southampton City , South East ,South West Trains,5933,"11,495","8,520","16,249","36,264","12,581","8,588","16,249","37,418","73,682",,Growth
Northumberland Park, Greater London , London ,WAGN,6971,"8,794","16,042","9,242","34,078","13,838","16,153","9,242","39,232","73,310",,Decline
Stapleton Road, Bristol City , South West ,Wessex Trains,3250,"24,606","3,970","9,268","37,844","22,122","3,968","9,268","35,358","73,202",,Decline
West St Leonards, East Sussex , South East ,South Eastern,5242,"10,501","16,087","10,026","36,614","11,056","15,443","10,026","36,525","73,139",,Decline
Greenfaulds, North Lanarkshire , Scotland ,First ScotRail,9725,"14,535","13,158","9,170","36,863","12,059","15,014","9,170","36,243","73,105",,Growth
Craven Arms, Shropshire , West Midlands ,Wessex Trains,3634,"10,619","18,253","6,926","35,798","11,431","18,220","6,926","36,577","72,375","3,045",Growth
Witton, West Midlands , West Midlands ,Central Trains,1011,"6,467","26,831",36,"33,334","12,082","26,892",36,"39,010","72,344",,Decline
Woodbridge, Suffolk , Eastern ,one,7228,"12,831","16,773","4,162","33,766","12,714","21,487","4,162","38,363","72,129",,Decline
Holytown, North Lanarkshire , Scotland ,First ScotRail,9738,"11,877","12,055","10,383","34,315","15,282","12,051","10,383","37,716","72,031","8,179",Growth
Lockerbie, Dumfries and Galloway , Scotland ,First ScotRail,9614,"6,861","27,401",394,"34,656","9,004","27,682",394,"37,080","71,736",,Growth
Penmere, Cornwall , South West ,Wessex Trains,3499,"15,634","19,439",67,"35,140","16,546","19,923",67,"36,536","71,676",,Growth
Lydney, Gloucestershire , South West ,Wessex Trains,4826,"12,943","18,617","3,603","35,163","13,998","18,614","3,603","36,215","71,378",,Growth
Netley, Hampshire , South East ,South West Trains,5911,"10,395","10,822","14,424","35,641","10,342","10,874","14,424","35,640","71,280",,Growth
Bank Hall, Merseyside , North West and Merseysid ,Merseyrail,2238,"17,327","16,379",5,"33,711","20,955","16,381",5,"37,341","71,052",,Growth
Welshpool, Powys , Wales ,Central Trains,4434,"5,404","27,694",655,"33,753","8,064","28,361",655,"37,080","70,833",,Growth
Rose Hill (Marple), Greater Manchester , North West and Merseysid ,Northern Rail,2873,"8,067","21,164","6,685","35,916","7,976","20,090","6,685","34,751","70,667",,Growth
Stonehouse, Gloucestershire , South West ,Wessex Trains,4770,"13,104","16,906","4,445","34,455","14,184","17,314","4,445","35,943","70,399",,Growth
Greenbank, Cheshire , North West and Merseysid ,Northern Rail,2325,"17,318","14,093","3,966","35,377","16,852","14,082","3,966","34,900","70,276",,Growth
Conisbrough, South Yorkshire , Yorkshire and the Humber ,Northern Rail,6488,"11,515","19,852","3,725","35,092","12,045","19,372","3,725","35,142","70,234",,Growth
Hartford, Cheshire , North West and Merseysid ,Central Trains,2230,"12,704","17,122","4,757","34,583","13,672","17,076","4,757","35,505","70,088",,Decline
Wimbledon Chase, Greater London , London ,Southern,5612,"8,541","9,549","15,564","33,654","11,390","9,465","15,564","36,419","70,073",,Growth
Mallaig, Highland , Scotland ,First ScotRail,8831,"7,232","23,518",0,"30,750","15,508","23,521",0,"39,029","69,779",,Growth
Dawlish Warren, Devon , South West ,Wessex Trains,3409,"5,184","26,569",568,"32,321","10,304","26,570",568,"37,442","69,763",,Growth
Huntly, Aberdeenshire , Scotland ,First ScotRail,8921,"16,149","12,694","5,720","34,563","16,382","12,868","5,720","34,970","69,533",,Growth
Kilburn High Road, Greater London , London ,Silverlink,1415,"8,105","9,418","16,336","33,859","8,994","10,088","16,336","35,418","69,276",,Decline
Hall Road, Merseyside , North West and Merseysid ,Merseyrail,2229,"14,268","19,624",23,"33,915","15,686","19,627",23,"35,336","69,251",,Growth
Starcross, Devon , South West ,Wessex Trains,3413,"10,240","9,152","14,379","33,771","11,862","9,162","14,379","35,403","69,175",,Growth
Bat & Ball, Kent , South East ,South Eastern,5090,"5,731","6,946","17,081","29,758","14,542","7,291","17,081","38,914","68,671",,Growth
Cramlington, Northumberland , North East ,Northern Rail,7579,"14,740","6,424","13,522","34,686","13,827","6,437","13,522","33,786","68,472",,Growth
Swinton (Greater Manchester), Greater Manchester , North West and Merseysid ,Northern Rail,2800,"7,113","20,734","5,810","33,657","7,378","21,600","5,810","34,788","68,445",,Growth
Hackney Wick, Greater London , London ,Silverlink,6978,"7,822","6,699","16,125","30,645","14,796","6,802","16,125","37,722","68,367",,Decline
Kilmaurs, East Ayrshire , Scotland ,First ScotRail,9516,"8,463","10,542","14,452","33,457","9,849","10,541","14,452","34,842","68,299",,Growth
Chinley, Derbyshire , East Midlands ,Northern Rail,2823,"13,024","12,583","8,036","33,643","13,887","12,603","8,036","34,526","68,169","2,071",Growth
Cartsdyke, Inverclyde , Scotland ,First ScotRail,9680,"14,947","11,745","6,227","32,919","16,317","11,746","6,227","34,290","67,209",,Growth
Brading, Isle of Wight , South East ,Island Line,5530,"24,769","1,873","6,346","32,988","25,732","1,867","6,346","33,945","66,932",,Decline
Bamber Bridge, Lancashire , North West and Merseysid ,Northern Rail,2561,"26,561","2,714","4,730","34,005","25,388","2,743","4,730","32,861","66,867",,Growth
Bishop Auckland, County Durham , North East ,Northern Rail,7835,"15,614","16,070","1,556","33,240","15,801","16,085","1,556","33,442","66,681",,Growth
Keith, Moray , Scotland ,First ScotRail,8925,"11,131","18,383","2,786","32,300","13,072","18,373","2,786","34,231","66,531",,Growth
Carbis Bay, Cornwall , South West ,Wessex Trains,3542,"17,233","13,068",577,"30,878","21,787","13,056",577,"35,420","66,298",,Growth
Nelson, Lancashire , North West and Merseysid ,Northern Rail,2565,"16,486","11,655","4,435","32,576","17,433","11,676","4,435","33,544","66,119",,Growth
Ardrossan Harbour, North Ayrshire , Scotland ,First ScotRail,9453,"21,913","9,174",0,"31,087","25,802","9,184",0,"34,986","66,073",,Growth
Whitchurch (Salop), Shropshire , West Midlands ,Wessex Trains,1348,"11,337","14,976","6,090","32,403","12,299","15,076","6,090","33,465","65,867",,Growth
Lytham, Lancashire , North West and Merseysid ,Northern Rail,2670,"20,348","8,576","3,205","32,129","21,730","8,647","3,205","33,582","65,712",,Growth
Corbridge, Northumberland , North East ,Northern Rail,7504,"6,330","22,383","2,416","31,129","9,743","22,377","2,416","34,536","65,665",,Growth
Marske, Redcar and Cleveland , North East ,Northern Rail,7928,"10,694","15,465","5,323","31,482","13,393","15,461","5,323","34,177","65,658",,Growth
Sturry, Kent , South East ,South Eastern,5029,"10,508","8,179","14,200","32,887","10,293","8,258","14,200","32,751","65,638",,Growth
Eccles, Greater Manchester , North West and Merseysid ,Northern Rail,2950,"11,437","15,807","5,553","32,797","10,177","16,592","5,553","32,322","65,119",,Growth
Montpelier, Bristol City , South West ,Wessex Trains,3203,"21,429","4,309","7,177","32,915","20,748","4,269","7,177","32,194","65,108",,Growth
Custom House, Greater London , London ,Silverlink,6964,"7,819","9,733","13,986","31,538","9,666","9,765","13,986","33,417","64,956",,Decline
Gilberdyke, East Riding of Yorkshire , Yorkshire and the Humber ,Northern Rail,8117,"11,598","10,783","10,001","32,382","11,680","10,781","10,001","32,462","64,843",206,Growth
Gorton, Greater Manchester , North West and Merseysid ,Northern Rail,2962,"9,508","18,453","4,310","32,271","6,669","21,498","4,310","32,477","64,749",,Growth
Flixton, Greater Manchester , North West and Merseysid ,Northern Rail,2935,"9,629","11,640","11,000","32,269","7,791","13,627","11,000","32,418","64,686",,Growth
Wandsworth Road, Greater London , London ,Southern,5372,"19,878","4,594","8,102","32,574","19,321","4,608","8,102","32,031","64,605",,Decline
Brighouse, West Yorkshire , Yorkshire and the Humber ,GNER,8514,"15,279","15,406","1,058","31,743","16,344","15,274","1,058","32,676","64,419",,Growth
Cam & Dursley, Oxfordshire , South East ,Wessex Trains,3238,"16,263","10,331","4,773","31,367","17,857","10,358","4,773","32,988","64,355",,Growth
Hale, Greater Manchester , North West and Merseysid ,Northern Rail,2845,"12,499","11,019","8,844","32,362","10,538","12,566","8,844","31,948","64,310",,Growth
Llwynypia," Rhondda, Cynon, Taff", Wales ,Arriva Trains Wales,3852,"5,124","9,333","17,155","31,612","6,194","9,342","17,155","32,691","64,303",,Decline
Exeter St. Thomas, Devon , South West ,Wessex Trains,3414,"13,753","13,444","5,395","32,592","12,835","13,472","5,395","31,702","64,295",,Growth
Charing, Kent , South East ,South Eastern,5097,"6,439","9,117","15,910","31,466","7,883","9,032","15,910","32,825","64,291",,Growth
Wargrave, Berkshire , South East ,Great Western,3158,"7,659","10,084","13,287","31,030","8,752","11,048","13,287","33,087","64,116",,Decline
Kilpatrick, West Dunbartonshire , Scotland ,First ScotRail,9960,"13,025","9,497","7,347","29,869","17,263","9,497","7,347","34,107","63,977",,Growth
Fishbourne, West Sussex , South East ,Southern,5261,"5,840","6,450","17,895","30,185","8,849","6,495","17,895","33,239","63,424",,Growth
Lympstone Village, Devon , South West ,Wessex Trains,5761,"9,599","15,433","4,696","29,728","13,463","15,439","4,696","33,598","63,325",,Decline
Shalford, Surrey , South East ,Great Western,5638,"9,203","6,354","16,501","32,058","7,787","6,731","16,501","31,019","63,077",,Decline
Old Hill, West Midlands , West Midlands ,Central Trains,4641,"15,133","12,155","3,770","31,058","15,613","12,124","3,770","31,507","62,565",,Growth
Stocksfield, Northumberland , North East ,Northern Rail,7513,"9,125","13,572","6,998","29,695","12,284","13,579","6,998","32,861","62,557",,Growth
Appleby, Cumbria , North West and Merseysid ,Northern Rail,2052,"23,603","4,233","3,529","31,365","23,400","4,227","3,529","31,156","62,521",1,Growth
Aylesford, Kent , South East ,South Eastern,5162,"13,556","8,077","8,868","30,501","14,793","8,322","8,868","31,983","62,484",,Growth
Insch, Aberdeenshire , Scotland ,First ScotRail,8922,"15,573","6,743","8,268","30,584","16,607","6,802","8,268","31,677","62,261",,Growth
Branchton, Inverclyde , Scotland ,First ScotRail,9938,"14,089","12,946","4,269","31,304","13,679","12,945","4,269","30,893","62,198",,Growth
Renton, West Dunbartonshire , Scotland ,First ScotRail,9867,"13,729","12,997","3,017","29,743","16,431","12,997","3,017","32,445","62,187",,Growth
Bulwell, Nottinghamshire , East Midlands ,Central Trains,1865,"15,602","10,926","5,080","31,608","14,431","10,903","5,080","30,414","62,021",,Decline
Airbles, North Lanarkshire , Scotland ,First ScotRail,9695,"17,037","11,366","3,160","31,563","15,910","11,366","3,160","30,436","62,000",,Growth
Northfleet, Kent , South East ,South Eastern,5120,"6,317","5,686","17,943","29,946","7,400","6,648","17,943","31,991","61,936",,Growth
Hatfield & Stainforth, South Yorkshire , Yorkshire and the Humber ,Northern Rail,6528,"8,834","17,916","2,560","29,310","12,174","17,883","2,560","32,617","61,927","10,593",Growth
Dunton Green, Kent , South East ,South Eastern,5102,"3,636","2,135","23,548","29,319","5,769","2,490","23,548","31,807","61,127",,Growth
Dinas Powys, Vale of Glamorgan , Wales ,Arriva Trains Wales,3830,"8,484","12,149","7,371","28,004","13,526","12,165","7,371","33,062","61,066",,Decline
Winsford, Cheshire , North West and Merseysid ,Central Trains,2269,"8,387","20,130","1,238","29,755","9,452","20,545","1,238","31,235","60,989",,Decline
Whyteleafe South, Surrey , South East ,Southern,5439,"6,219","5,949","18,300","30,468","6,099","5,944","18,300","30,343","60,812",,Decline
Selling, Kent , South East ,South Eastern,5179,"5,209","12,209","12,094","29,512","4,883","14,179","12,094","31,156","60,668",,Growth
Harrietsham, Kent , South East ,South Eastern,5140,"5,779","7,010","16,792","29,581","6,182","7,167","16,792","30,141","59,722",,Growth
Caldicot, Monmouthshire , Wales ,Wessex Trains,3680,"10,325","13,406","5,553","29,284","11,444","13,417","5,553","30,414","59,699",,Growth
Beccles, Suffolk , Eastern ,one,7258,"10,092","16,499","1,528","28,119","9,371","20,669","1,528","31,568","59,686",,Decline
Abergele & Pensarn, Conwy , Wales ,Northern Rail,2448,"11,989","12,522","4,040","28,551","14,192","12,722","4,040","30,954","59,504",,Growth
Dunlop, East Ayrshire , Scotland ,First ScotRail,9492,"9,782","10,027","7,722","27,531","14,178","10,026","7,722","31,926","59,457",,Growth
Summerston, Glasgow City , Scotland ,First ScotRail,9959,"10,702","13,343","5,098","29,143","11,853","13,343","5,098","30,294","59,437",,Growth
Brinnington, Greater Manchester , North West and Merseysid ,Northern Rail,2603,"6,303","19,830","3,333","29,466","5,575","21,061","3,333","29,969","59,436",,Growth
Shepherd's Well, Kent , South East ,South Eastern,5186,"7,660","10,940","10,013","28,613","8,311","12,265","10,013","30,589","59,202",,Growth
Kintbury, Berkshire , South East ,Great Western,3073,"10,845","11,067","8,003","29,915","9,815","11,458","8,003","29,276","59,191",,Growth
Maryport, Cumbria , North West and Merseysid ,Northern Rail,1988,"12,266","11,407","5,427","29,100","13,148","11,383","5,427","29,958","59,058",,Growth
Micheldever, Hampshire , South East ,South West Trains,5908,"6,259","8,046","13,993","28,298","7,253","9,191","13,993","30,437","58,735",,Growth
Bargeddie, North Lanarkshire , Scotland ,First ScotRail,9764,"11,153","8,634","9,078","28,865","12,085","8,634","9,078","29,797","58,663",,Growth
Penrhiwceiber," Rhondda, Cynon, Taff", Wales ,Arriva Trains Wales,3992,"7,966","17,000","2,061","27,027","12,473","16,995","2,061","31,529","58,555",,Growth
Colne, Lancashire , North West and Merseysid ,Northern Rail,2562,"16,173","10,632","2,771","29,576","15,434","10,621","2,771","28,826","58,401",,Growth
Ham Street, Kent , South East ,South Eastern,5037,"3,486","9,071","15,506","28,063","4,091","10,734","15,506","30,331","58,394",,Growth
Godstone, Surrey , South East ,Southern,5474,"7,965","10,439","10,094","28,498","9,509","10,275","10,094","29,878","58,377",,Growth
Bache, Cheshire , North West and Merseysid ,Merseyrail,2187,"11,800","13,232","2,441","27,473","15,099","13,271","2,441","30,811","58,283",,Growth
Hamstead, West Midlands , West Midlands ,Central Trains,1145,"14,060","14,305",385,"28,750","14,777","14,320",385,"29,482","58,232",,Decline
Thurnscoe, South Yorkshire , Yorkshire and the Humber ,Northern Rail,8282,"8,213","17,816","2,021","28,050","10,168","17,778","2,021","29,967","58,017",,Growth
