 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,
Final National Rail/DLR stations,,,,,,,,,,
,,,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Weekday
All departures from,,to NR/DLR Destination,, - 7am ,7am-10am,10am-4pm,4pm-7pm ,7pm-10pm,10pm+,total
513,Bank / Monument               ,6833,Stansted Mountfitchet         ,0,0,0,0,0,15,15
513,Bank / Monument               ,749,Stratford High Street         ,0,43,0,0,0,0,43
513,Bank / Monument               ,504,Stratford International       ,46,222,76,118,0,0,461
513,Bank / Monument               ,5607,Strawberry Hill               ,0,0,0,25,0,0,25
513,Bank / Monument               ,5608,Sunbury                       ,0,0,0,3,0,0,3
513,Bank / Monument               ,5671,Sunningdale                   ,0,0,0,0,0,0,0
513,Bank / Monument               ,5571,Surbiton                      ,0,32,0,20,4,0,56
513,Bank / Monument               ,1083,Surrey Quays                  ,0,0,0,0,0,0,0
513,Bank / Monument               ,5385,Sutton                        ,0,0,78,0,0,0,78
513,Bank / Monument               ,7462,Tilbury Town                  ,0,0,132,0,0,0,132
513,Bank / Monument               ,5230,Tunbridge Wells Central       ,0,0,0,7,0,6,13
513,Bank / Monument               ,5574,Twickenham                    ,0,0,0,18,0,0,18
513,Bank / Monument               ,5231,Wadhurst                      ,0,0,0,4,0,0,4
513,Bank / Monument               ,6953,Walthamstow Br                ,0,0,0,4,0,0,4
513,Bank / Monument               ,5575,Walton On Thames              ,0,0,0,0,14,0,14
513,Bank / Monument               ,5576,Wandsworth Town               ,0,15,14,44,0,0,74
513,Bank / Monument               ,1085,Wapping                       ,2,8,0,0,0,0,10
513,Bank / Monument               ,6824,Ware                          ,0,0,0,0,3,0,3
513,Bank / Monument               ,5598,Waterloo London Br            ,3,45,0,7,0,0,55
513,Bank / Monument               ,1402,Watford Junction              ,0,23,0,0,0,0,23
513,Bank / Monument               ,6073,Welham Green                  ,0,0,0,26,0,0,26
513,Bank / Monument               ,6183,Welwyn Garden City            ,0,0,18,0,0,0,18
513,Bank / Monument               ,5684,West Byfleet                  ,0,0,0,7,14,0,21
513,Bank / Monument               ,866,West India Quay               ,8,97,102,35,3,0,246
513,Bank / Monument               ,559,West Silvertown               ,0,0,39,82,77,60,258
513,Bank / Monument               ,865,Westferry                     ,145,1077,813,1032,402,159,3627
513,Bank / Monument               ,5195,Westgate On Sea               ,0,0,0,0,0,0,0
513,Bank / Monument               ,5577,Weybridge                     ,0,0,0,0,2,0,2
513,Bank / Monument               ,5924,Winchester                    ,0,0,0,0,0,0,0
513,Bank / Monument               ,6024,Winchmore Hill                ,0,0,1,0,0,0,1
513,Bank / Monument               ,5685,Woking                        ,0,0,0,16,8,0,24
513,Bank / Monument               ,5696,Wokingham                     ,0,0,24,0,0,0,24
513,Bank / Monument               ,5152,Woolwich Arsenal              ,8,9,51,161,45,52,326
513,Bank / Monument               ,573,Woolwich Arsenal (DLR)        ,11,58,415,153,158,67,863
513,Bank / Monument               ,5686,Worplesdon                    ,0,0,0,12,0,0,12
513,Bank / Monument               ,8263,York                          ,0,0,53,0,0,0,53
514,Barking                       ,7494,Basildon                      ,31,116,5,2,29,0,183
514,Barking                       ,3047,Beaconsfield                  ,0,0,27,0,0,0,27
