 RODS report1a created at 13:27:01 on 29-03-2017,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,
 ,,,,,,,,
 Report 1a - Analysis by journey purpose and ticket type,,,,,,,,
,Time period,Origin Journey Purpose :                 Destination Journey Purpose,Total all types,Daily (inc T/Card)  ,Weekly              ,Periods             ,All Permits         ,Not Stated /Other    
zone 1,   Total day,Education : Home                        ,98201,29968,24089,39946,1771,2427
zone 1,   Total day,Education : Work                        ,4521,1024,1421,1902,67,108
zone 1,   Total day,Education : Shop                        ,4611,1607,1529,1441,34,0
zone 1,   Total day,Education : Education                   ,10517,3779,3463,3134,129,12
zone 1,   Total day,Education : Tourist                     ,1005,453,186,342,0,25
zone 1,   Total day,Education : Hotel                       ,1564,724,227,498,19,96
zone 1,   Total day,Education : Other                       ,10922,4385,3291,2754,191,301
zone 1,   Total day,Education : Unknown/Not Given           ,852,407,153,196,0,96
zone 1,   Total day,Tourist : Home                          ,10453,6864,795,638,1860,296
zone 1,   Total day,Tourist : Work                          ,552,386,15,125,27,0
zone 1,   Total day,Tourist : Shop                          ,1116,695,384,3,34,0
zone 1,   Total day,Tourist : Education                     ,526,388,4,19,20,95
zone 1,   Total day,Tourist : Tourist                       ,6503,4486,1751,147,107,13
zone 1,   Total day,Tourist : Hotel                         ,5071,3254,1758,45,14,0
zone 1,   Total day,Tourist : Other                         ,5356,3390,1040,260,428,238
zone 1,   Total day,Tourist : Unknown/Not Given             ,550,395,20,0,22,113
zone 1,   Total day,Hotel : Home                            ,10377,7576,503,753,1013,532
