NLC,Station name,Time period,all modes,Work,Home,Home    ,Work    ,Shop    ,Education     ,Tourist ,Hotel   ,Other   ,Unknown/Not Given   ,Home    ,Work    ,Shop    ,Education     ,Tourist ,Hotel   ,Other   ,Unknown/Not Given
524,Bond Street   ,Evening     ,13049,161,7151,475,7660,1959,316,17,18,2344,260,11214,320,41,57,0,235,631,551
524,Bond Street   ,Late  ,4054,0,1369,64,1432,91,40,0,0,1475,952,2823,101,5,23,0,64,63,976
524,Bond Street   ,   Total day,60929,1783,21923,4728,28582,13375,2495,187,668,8076,2820,38693,7018,2215,1162,209,1452,6494,3687
525,Borough ,Early ,158,22,20,25,20,0,0,0,0,0,113,20,22,0,2,0,0,0,113
525,Borough ,AM peak     ,1690,1205,24,1314,69,1,45,0,12,34,215,58,1270,14,86,0,10,31,221
525,Borough ,Midday,2639,115,376,608,1250,2,289,23,115,203,149,834,842,146,125,23,67,426,176
525,Borough ,PM Peak     ,3514,176,2155,442,2462,30,444,0,16,119,0,2590,321,6,103,0,38,434,22
525,Borough ,Evening     ,1163,27,571,163,626,0,100,0,4,203,67,830,35,0,0,0,37,188,74
525,Borough ,Late  ,389,25,143,25,143,0,6,0,0,100,116,249,25,0,0,0,0,0,115
525,Borough ,   Total day,9553,1570,3289,2577,4571,33,883,23,147,658,660,4580,2515,167,317,23,152,1080,720
526,Boston Manor  ,Early ,243,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,243
526,Boston Manor  ,AM peak     ,1700,1242,0,1542,19,0,32,0,0,24,82,0,1298,5,265,0,0,48,84
526,Boston Manor  ,Midday,914,244,31,591,65,1,96,0,0,42,119,147,282,55,31,0,0,273,126
526,Boston Manor  ,PM Peak     ,822,88,187,201,341,0,0,0,0,11,269,187,99,0,9,0,52,206,269
526,Boston Manor  ,Evening     ,200,23,23,71,23,0,0,0,0,38,68,61,23,0,0,0,0,48,68
526,Boston Manor  ,Late  ,39,0,1,0,1,0,0,0,0,11,26,13,0,0,0,0,0,0,26
526,Boston Manor  ,   Total day,3917,1598,242,2406,449,1,128,0,0,126,808,407,1702,60,304,0,52,576,816
527,Bounds Green  ,Early ,1187,0,0,0,0,0,0,0,0,0,1187,0,0,0,0,0,0,0,1187
527,Bounds Green  ,AM peak     ,4926,4226,61,4493,97,9,115,0,0,113,99,116,4344,42,237,0,0,87,99
527,Bounds Green  ,Midday,2509,636,65,1693,203,0,68,0,0,72,472,126,743,463,334,9,0,358,475
527,Bounds Green  ,PM Peak     ,1431,18,357,470,358,0,236,0,0,57,311,650,18,14,2,0,0,438,311
527,Bounds Green  ,Evening     ,537,75,99,174,99,0,0,0,0,13,250,112,75,0,0,0,0,55,296
527,Bounds Green  ,Late  ,155,0,0,0,0,0,0,0,0,54,100,54,0,0,0,0,0,0,100
527,Bounds Green  ,   Total day,10744,4954,583,6831,757,9,419,0,0,309,2420,1059,5179,519,573,9,0,937,2468
528,Bow Road,Early ,549,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,549
528,Bow Road,AM peak     ,4185,3372,11,3912,112,0,2,0,4,20,136,11,3509,95,122,110,0,132,206
528,Bow Road,Midday,2285,436,262,1327,640,0,101,4,17,150,47,414,632,215,406,75,53,460,31
528,Bow Road,PM Peak     ,1456,177,647,657,785,0,4,0,0,9,0,660,223,54,86,0,17,334,83
528,Bow Road,Evening     ,534,121,161,246,162,2,27,0,0,74,23,278,121,0,4,0,45,78,8
528,Bow Road,Late  ,177,9,10,142,10,0,0,0,0,3,23,10,9,0,0,0,0,135,23
528,Bow Road,   Total day,9186,4116,1090,6285,1709,2,133,4,21,255,776,1373,4495,363,618,184,115,1138,899
529,Brent Cross   ,Early ,334,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,334
529,Brent Cross   ,AM peak     ,1556,1210,35,1448,44,0,4,0,6,4,49,35,1252,0,113,2,0,39,115
529,Brent Cross   ,Midday,1069,139,24,703,218,88,7,0,16,33,4,115,298,76,209,82,8,266,16
529,Brent Cross   ,PM Peak     ,713,65,223,223,301,108,42,0,1,19,18,345,83,0,80,0,0,171,35
529,Brent Cross   ,Evening     ,313,8,63,127,65,0,0,0,2,85,34,124,8,0,0,0,24,44,112
529,Brent Cross   ,Late  ,77,6,8,31,8,1,0,0,0,24,13,33,6,25,0,0,0,0,13
529,Brent Cross   ,   Total day,4062,1428,353,2534,636,198,52,0,26,165,452,652,1647,101,401,84,32,520,625
778,Brixton ,Early ,3199,10,0,10,0,0,0,0,0,0,3189,0,10,0,0,0,0,0,3189
778,Brixton ,AM peak     ,24751,21529,71,23323,533,2,183,0,65,480,164,248,22518,23,597,13,92,963,296
778,Brixton ,Midday,10592,3307,301,7315,1007,183,127,33,238,1172,517,827,4025,1281,1155,233,229,2231,610
778,Brixton ,PM Peak     ,7225,1130,2678,2901,3445,76,135,7,70,507,84,3130,1427,121,267,0,88,1965,228
778,Brixton ,Evening     ,3103,278,1267,859,1348,9,1,0,47,751,88,2047,298,24,60,0,24,551,98
778,Brixton ,Late  ,3614,91,277,91,325,0,0,0,136,1832,1229,2092,376,0,0,0,6,325,813
778,Brixton ,   Total day,52484,26345,4595,34500,6658,271,447,40,556,4741,5271,8344,28654,1450,2080,247,438,6036,5235
530,Bromley-by-Bow,Early ,343,7,46,7,46,0,0,0,0,0,290,46,7,0,0,0,0,0,290
530,Bromley-by-Bow,AM peak     ,2243,1475,243,1599,398,0,14,0,0,0,233,249,1598,0,130,0,0,0,265
530,Bromley-by-Bow,Midday,1610,266,365,647,609,1,0,0,0,143,211,436,489,102,205,0,0,168,211
530,Bromley-by-Bow,PM Peak     ,1543,0,738,257,912,43,0,152,0,114,64,1047,119,0,79,0,0,234,64
530,Bromley-by-Bow,Evening     ,453,5,307,5,315,42,11,0,0,0,81,359,5,0,0,0,0,8,81
530,Bromley-by-Bow,Late  ,134,0,17,0,17,0,0,0,0,8,109,25,0,0,0,0,0,0,109
530,Bromley-by-Bow,   Total day,6327,1752,1716,2514,2297,85,25,152,0,265,988,2163,2218,102,413,0,0,409,1021
531,Buckhurst Hill,Early ,391,15,0,15,0,0,0,0,0,0,376,0,15,0,0,0,0,0,376
531,Buckhurst Hill,AM peak     ,1965,1727,0,1928,0,29,0,0,0,7,0,0,1735,5,52,0,0,143,29
531,Buckhurst Hill,Midday,671,44,172,379,174,10,0,0,0,47,61,209,48,86,45,0,0,227,55
531,Buckhurst Hill,PM Peak     ,425,0,113,171,113,26,13,0,47,8,47,160,47,48,5,11,0,107,47
531,Buckhurst Hill,Evening     ,138,0,0,0,0,0,0,0,0,0,138,0,58,0,0,0,0,0,80
531,Buckhurst Hill,Late  ,37,0,0,0,0,0,0,0,0,36,1,36,0,0,0,0,0,0,1
531,Buckhurst Hill,   Total day,3627,1787,285,2493,287,66,13,0,47,99,622,406,1903,140,102,11,0,478,588
532,Burnt Oak     ,Early ,1478,325,0,347,0,0,0,0,0,5,1126,0,330,0,22,0,0,0,1126
532,Burnt Oak     ,AM peak     ,3147,2393,2,2887,3,9,83,0,0,131,33,2,2563,10,393,8,0,142,27
532,Burnt Oak     ,Midday,1506,308,124,850,209,21,61,0,112,242,10,176,465,104,208,1,65,355,131
